A
B
C
Point Up
Point In
F
G
Palm Open
Palm In
J
Inside Hook
L
3
V
Small
Upside Hook
Downside Hook
U
Palm Side 
Palm Hook
4
Pinky 
8
Sidewards ThumbsUp
Point To
